REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2555,45,29294732,1027739068609,2555,044525448,9/1/2013,"АКБ ""ЯПЫ КРЕДИ БАНК МОСКВА"" (ЗАО)","115172,  г. Москва, Гончарная наб., д.1, стр.2",1,23
2557,45,29034830,1027700431296,2557,044525202,9/1/2013,"ЗАО КБ ""Ситибанк""","125047,  г. Москва, ул. Гашека, д. 8-10, стр. 1",1,22
2559,45,29287815,1037739412700,2559,044525116,9/1/2013,"""ЗЕРБАНК (Москва)"" (ЗАО)","109147,  г. Москва, ул.Марксистская, д.16",1,22
2562,45,17543549,1027700159442,2562,044525205,9/1/2013,"ОАО ""БИНБАНК""","121471,  г. Москва, ул.Гродненская, д.5а",1,31
2564,78,21666973,1027600000075,2564,047888728,9/1/2013,"ИКБР ""ЯРИНТЕРБАНК"" (ООО)","150000, г.Ярославль, ул.Собинова, д.30",1,27
2568,37,28968878,1024500000029,2568,043735830,9/1/2013,"ОАО АКИБ ""КУРГАН""","640000, г.Курган, ул.Гоголя, дом № 78",1,27
2571,45,17543398,1027739320003,2571,044583647,9/1/2013,"""ИНРЕСБАНК"" ООО","107023,  г. Москва, ул. Большая Семеновская, дом 32, строение 1",1,31
2574,45,17546424,1027739153573,2574,044585567,9/1/2013,"АКБ ""ФЬЮЧЕР"" (ОАО)","109028, г. Москва, ул. Солянка, д. 13/3, стр. 1",1,22
2576,45,17544201,1037739429320,2576,044585109,9/1/2013,"КБ ""Гарант-Инвест"" (ЗАО)","127051, г. Москва, 1-ый Колобовский переулок, д. 23",1,22
2581,45,29284662,1037739299685,2581,044585106,9/1/2013,ЗАО Сберкред Банк,"115054,  г. Москва, ул. Новокузнецкая,  д. 36/2, стр. 1",1,31
2584,75,21553996,1027400000638,2584,047516949,9/1/2013,"""КУБ"" ОАО","455044, Челябинская область, г.Магнитогорск, ул.Гагарина, 17",1,31
2586,45,17544193,1027700035835,2586,044583762,9/1/2013,"ОАО ""ЮНИКОРБАНК""","129515, г. Москва, ул. 1-я Останкинская, д. 26",1,31
2590,92,13001745,1021600000124,2590,049205805,9/1/2013,"ОАО ""АК БАРС"" БАНК","420066, г.Казань, ул.Декабристов,1",1,27
